"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003887","2001-01-05","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   28",",,W","  -44",",,W","   72",",,W"," 1234",",,W"," 1210",",,W","   -6",",,W",,,"  280",",,W","  290",",,W","  130",",,W","  156",",,W",,,,,,,,,,,,
"USW00003887","2001-01-06","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   28",",,W","  -94",",,W","   49",",,W"," 1226",",,W"," 1333",",,W","  -33",",,W","    0",",,W","  210",",,W","  220",",,W","  107",",,W","  125",",,W",,,,,,,,,,,,
"USW00003887","2001-01-07","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   17",",,W","  -44",",,W","   54",",,W"," 1322",",,W"," 1319",",,W","  -11",",,W",,,"  310",",,W","  310",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,
"USW00003887","2001-01-08","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -44",",,W"," -106",",,W","   51",",,W"," 1226",",,W"," 1205",",,W","  -72",",,W",,,"  310",",,W","  310",",,W","   72",",,W","   89",",,W",,,,,,,,,,,,
"USW00003887","2001-01-09","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -44",",,W"," -128",",,W","   35",",,W"," 2249",",,W"," 2346",",,W","  -83",",,W",,,"  230",",,W","  220",",,W","   58",",,W","   63",",,W",,,,,,,,,,,,
"USW00003887","2001-01-10","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   22",",,W","  -89",",,W","   52",",,W"," 1244",",,W"," 0945",",,W","  -33",",,W",,,"  210",",,W","  210",",,W","   76",",,W","   89",",,W",,,,,,,,,,,,
"USW00003887","2001-01-11","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    8",",,W",,,,,"   11",",,W","  -67",",,W","   30",",,W"," 0037",",,W"," 0036",",,W","  -28",",,W","    0",",,W","  210",",,W","  210",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,
"USW00003887","2001-01-12","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","   20",",,W",,,,,"   11",",,W","   -6",",,W","   21",",,W"," 2357",",,W"," 2354",",,W","    6",",,W","    0",",,W","  180",",,W","  180",",,W","   40",",,W","   45",",,W",,,,,,,,,,,,
"USW00003887","2001-01-13","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    3",",,W",,,,,"   22",",,W","    0",",,W","   49",",,W"," 2302",",,W"," 2146",",,W","   11",",,W","    0",",,W","  150",",,W","  180",",,W","   94",",,W","  112",",,W",,,,,,,,,,,,
"USW00003887","2001-01-14","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    3",",,W",,,,,"   39",",,W","   17",",,W","   53",",,W"," 0014",",,W"," 0019",",,W","   28",",,W","    0",",,W","  140",",,W","  160",",,W","   98",",,W","  107",",,W",,,,,,,,,,,,
"USW00003887","2001-01-15","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"   17",",,W","    0",",,W","   51",",,W"," 1142",",,W"," 1127",",,W","   11",",,W",,,"  270",",,W","  260",",,W","   80",",,W","  107",",,W",,,,,,,,,,,,
"USW00003887","2001-01-16","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"    0",",,W","  -28",",,W","   39",",,W"," 0000",",,W"," 2359",",,W","  -11",",,W",,,"  290",",,W","  300",",,W","   72",",,W","   94",",,W",,,,,,,,,,,,
"USW00003887","2001-01-17","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"  -11",",,W","  -61",",,W","   19",",,W"," 0252",",,W"," 0252",",,W","  -33",",,W",,,"  300",",,W","  310",",,W","   58",",,W","   63",",,W",,,,,,,,,,,,
"USW00003887","2001-01-18","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   22",",,W","  -78",",,W","   23",",,W"," 1205",",,W"," 1205",",,W","  -28",",,W",,,"  220",",,W","  210",",,W","   67",",,W","   76",",,W",,,,,,,,,,,,
"USW00003887","2001-01-19","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,W",,,,,"    0",",,W","  -67",",,W","   58",",,W"," 2019",",,W"," 2018",",,W","  -33",",,W",,,"  350",",,W","  340",",,W","   98",",,W","  112",",,W",,,,,,,,,,,,
