"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202344","44","10/29/2023","11/04/2023","2023-2024","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202344-5-Influenza B"
"202332","32","08/06/2023","08/12/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","0",,"0","Minimal","202332-6-RSV"
"202326","26","06/25/2023","07/01/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202326-5-Influenza B"
"202325","25","06/18/2023","06/24/2023","2022-2023","SARS-CoV-2","9","North Branch PS","2023","49,725","10.6965747918","1.2","Minimal","202325-9-SARS-CoV-2"
"202601","1","01/04/2026","01/10/2026","2025-2026","Influenza A","4","Austin/Montclare","2026","214,520.333040005","11.33146846253","17.7","Very High","202601-4-Influenza A"
"202429","29","07/14/2024","07/20/2024","2023-2024","Influenza A","11","125th St PS","2024","2,062.5","9.31439395722","1","Minimal","202429-11-Influenza A"
"202526","26","06/22/2025","06/28/2025","2024-2025","Influenza B","11","125th St PS","2025","0",,"0","Minimal","202526-11-Influenza B"
"202407","7","02/11/2024","02/17/2024","2023-2024","SARS-CoV-2","11","125th St PS","2024","126,225","11.10114537937","6.7","High","202407-11-SARS-CoV-2"
"202342","42","10/15/2023","10/21/2023","2023-2024","RSV","10","Racine Ave PS","2023","1,950","9.29003461136","1","Minimal","202342-10-RSV"
"202429","29","07/14/2024","07/20/2024","2023-2024","Influenza B","9","North Branch PS","2024","0",,"0","Minimal","202429-9-Influenza B"
"202550","50","12/07/2025","12/13/2025","2025-2026","RSV","4","Austin/Montclare","2025","1,875","9.27300127206","0.9","Minimal","202550-4-RSV"
"202442","42","10/13/2024","10/19/2024","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2024","0",,"0","Minimal","202442-6-SARS-CoV-2"
"202250","50","12/11/2022","12/17/2022","2022-2023","RSV","6","West Pullman/Roseland","2022",,,"0","Minimal","202250-6-RSV"
"202352","52","12/24/2023","12/30/2023","2023-2024","SARS-CoV-2","8","Little Village","2023","522,262.5","11.71788884332","8.9","Very High","202352-8-SARS-CoV-2"
"202440","40","09/29/2024","10/05/2024","2024-2025","Influenza B","4","Austin/Montclare","2024","0",,"0","Minimal","202440-4-Influenza B"
"202507","7","02/09/2025","02/15/2025","2024-2025","Influenza A","10","Racine Ave PS","2025","230,250","11.36219963887","21.4","Very High","202507-10-Influenza A"
"202543","43","10/19/2025","10/25/2025","2025-2026","RSV","8","Little Village","2025","0",,"0","Minimal","202543-8-RSV"
"202509","9","02/23/2025","03/01/2025","2024-2025","RSV","11","125th St PS","2025","8,325","9.92038424218","3.4","Low","202509-11-RSV"
"202333","33","08/13/2023","08/19/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","100,725","11.00313727606","5.7","High","202333-11-SARS-CoV-2"
"202553","53","12/28/2025","01/03/2026","2025-2026","RSV","6","West Pullman/Roseland","2025","9,450","9.97543180851","2","Minimal","202553-6-RSV"
"202519","19","05/04/2025","05/10/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","248,700","11.39567578527","17.6","High","202519-5-Influenza A"
"202539","39","09/21/2025","09/27/2025","2024-2025","SARS-CoV-2","9","North Branch PS","2025","67,275","10.82785370644","1.5","Minimal","202539-9-SARS-CoV-2"
"202546","46","11/09/2025","11/15/2025","2025-2026","SARS-CoV-2","6","West Pullman/Roseland","2025","20,737.5","10.31675639903","3","Low","202546-6-SARS-CoV-2"
"202525","25","06/15/2025","06/21/2025","2024-2025","SARS-CoV-2","999","All sites","2025","36,846.4285714286","10.5663953992","1.2","Minimal","202525-999-SARS-CoV-2"
"202553","53","12/28/2025","01/03/2026","2025-2026","Influenza B","999","All sites","2025","2,168.36983464583","9.33613335695","0","Minimal","202553-999-Influenza B"
"202525","25","06/15/2025","06/21/2025","2024-2025","RSV","9","North Branch PS","2025","0",,"0","Minimal","202525-9-RSV"
"202423","23","06/02/2024","06/08/2024","2023-2024","Influenza A","9","North Branch PS","2024","7,987.5","9.90241087117","1.7","Minimal","202423-9-Influenza A"
"202338","38","09/17/2023","09/23/2023","2022-2023","Influenza B","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202338-5-Influenza B"
"202534","34","08/17/2025","08/23/2025","2024-2025","Influenza A","10","Racine Ave PS","2025","0",,"0","Minimal","202534-10-Influenza A"
"202549","49","11/30/2025","12/06/2025","2025-2026","Influenza B","10","Racine Ave PS","2025","5,437.5","9.73539926996","3.1","Low","202549-10-Influenza B"
"202601","1","01/04/2026","01/10/2026","2025-2026","RSV","10","Racine Ave PS","2026","19,814.443992053","10.29698189022","3.6","Low","202601-10-RSV"
"202514","14","03/30/2025","04/05/2025","2024-2025","RSV","4","Austin/Montclare","2025","5,850","9.76715586608","1.3","Minimal","202514-4-RSV"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza B","9","North Branch PS","2023","0",,"0","Minimal","202319-9-Influenza B"
"202515","15","04/06/2025","04/12/2025","2024-2025","RSV","4","Austin/Montclare","2025","0",,"0","Minimal","202515-4-RSV"
"202528","28","07/06/2025","07/12/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202528-5-Influenza A"
"202306","6","02/05/2023","02/11/2023","2022-2023","Influenza B","4","Austin/Montclare","2023","0",,"0","Minimal","202306-4-Influenza B"
"202538","38","09/14/2025","09/20/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202538-5-Influenza A"
"202447","47","11/17/2024","11/23/2024","2024-2025","RSV","4","Austin/Montclare","2024","3,937.5","9.5952205668","1.6","Minimal","202447-4-RSV"
"202325","25","06/18/2023","06/24/2023","2022-2023","Influenza B","4","Austin/Montclare","2023","0",,"0","Minimal","202325-4-Influenza B"
"202242","42","10/16/2022","10/22/2022","2022-2023","Influenza B","8","Little Village","2022","0",,"0","Minimal","202242-8-Influenza B"
"202432","32","08/04/2024","08/10/2024","2023-2024","Influenza A","11","125th St PS","2024","0",,"0","Minimal","202432-11-Influenza A"
"202446","46","11/10/2024","11/16/2024","2024-2025","RSV","999","All sites","2024","29,223.2142857143","10.46572798264","0","Minimal","202446-999-RSV"
"202413","13","03/24/2024","03/30/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","4,050","9.60745502321","1","Minimal","202413-6-Influenza A"
"202542","42","10/12/2025","10/18/2025","2025-2026","SARS-CoV-2","10","Racine Ave PS","2025","3,825","9.58263143949","0.3","Minimal","202542-10-SARS-CoV-2"
"202317","17","04/23/2023","04/29/2023","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2023","253,237.5","11.40352801745","4.5","Moderate","202317-5-SARS-CoV-2"
